timestep	potential_energy	temperature
0	33578.64376	0.7997985742
500	25955.13318	1.06794081
1000	13444.65441	1.392300096
1500	11415.5107	0.8757315868
2000	10850.16426	0.8463470098
2500	10738.18433	0.8257476434
3000	10615.77406	0.8080962215
3500	10641.22799	0.7899385008
4000	10647.52129	0.8078809936
4500	10669.20568	0.8095952492
5000	10665.011	0.7842087107
5500	10604.67229	0.786198596
6000	10690.43774	0.7948662803
6500	10600.86337	0.7880886917
7000	10623.9078	0.8102692002
7500	10772.5417	0.8181206472
8000	10641.50864	0.8111586153
8500	10553.25654	0.8045239888
9000	10608.41345	0.8062828264
9500	10678.6108	0.8129087491
10000	10713.97292	0.8140079512
10500	10526.937	0.8026996158
11000	10583.89465	0.8028403332
11500	10635.29863	0.8014159841
12000	10626.54304	0.7882604497
12500	10670.48826	0.806448451
13000	10649.56726	0.7905457501
13500	10611.63689	0.8274440824
14000	10648.98895	0.8160452543
14500	10644.68742	0.8087843224
15000	10676.38429	0.7873570092
15500	10558.69608	0.8021363443
16000	10623.13339	0.7982711774
16500	10602.9927	0.811815626
17000	10530.2436	0.815365632
17500	10705.92854	0.783800168
18000	10706.69902	0.7926230598
18500	10658.56662	0.788505568
19000	10650.6937	0.8188927563
19500	10631.70175	0.8080208712
20000	10605.08648	0.8139487015
20500	10661.14257	0.780427817
21000	10594.01998	0.7755997751
21500	10567.30197	0.8173284766
22000	10582.325	0.8156397659
22500	10690.62372	0.7958515461
23000	10541.06187	0.8005043769
23500	10497.8016	0.7863435985
24000	10537.36325	0.7904190734
24500	10584.35117	0.8017334271
25000	10520.55597	0.794562444
25500	10492.56879	0.7817410266
26000	10528.32663	0.8097893047
26500	10560.05834	0.796498492
27000	10582.3418	0.8037686325
27500	10569.36845	0.8005143919
28000	10769.55983	0.8081557078
28500	10662.09226	0.8122677669
29000	10636.20611	0.8279295765
29500	10708.06503	0.7973177341
30000	10588.45068	0.7996852791
30500	10662.15912	0.7983334092
31000	10642.39363	0.8067738226
31500	10632.07618	0.7954394854
32000	10504.67671	0.8011412292
32500	10565.88243	0.7936810376
33000	10507.76941	0.8078665162
33500	10602.8448	0.7977685559
34000	10535.16574	0.8082066435
34500	10568.94323	0.8191754095
35000	10664.05281	0.8066528915
35500	10541.65986	0.807677404
36000	10493.57303	0.7852197447
36500	10593.44514	0.79133857
37000	10577.07356	0.8140522013
37500	10595.0353	0.8015806068
38000	10661.25982	0.809978642
38500	10507.23501	0.79992158
39000	10576.64718	0.8008027021
39500	10607.41158	0.8292038683
40000	10647.47014	0.8089348974
40500	10544.58451	0.8129139716
41000	10670.55017	0.794726921
41500	10625.71614	0.8013344901
42000	10648.56026	0.7903235542
42500	10579.16458	0.8019485658
43000	10622.60332	0.7955780318
43500	10604.5698	0.796481247
44000	10613.35489	0.8011042762
44500	10542.12168	0.810918594
45000	10686.2781	0.8121434454
45500	10657.02555	0.7984225783
46000	10606.27084	0.8114385568
46500	10592.70836	0.80713996
47000	10661.23253	0.8139216409
47500	10648.67457	0.8231688666
48000	10650.50948	0.8185399998
48500	10652.61636	0.8045773312
49000	10753.47572	0.8006822574
49500	10535.9568	0.8084985269
