timestep	p0x	p0y	p0z	plx	ply	plz	ree
0	-9.596022314	-1.492197464	6.660713406	-2.122471188	-4.428102141	0.7513350337	9.969666768
100	-9.519578567	-0.9728339432	6.810306575	-2.410677738	-6.035032874	0.1795210837	10.96036702
200	-9.530540294	-0.9665822364	6.753206936	-2.399919379	-6.136847973	0.1495398568	11.00844318
300	-9.569187822	-0.9252880728	6.738529727	-2.394951257	-6.133308693	0.1555681622	11.04212534
400	-9.618604822	-0.8817881959	6.720070448	-2.371771424	-6.14811608	0.1479594917	11.11051061
500	-9.692583746	-0.8244258631	6.687884552	-2.334876225	-6.164860282	0.1407686049	11.20360777
600	-9.849215862	-0.7339049116	6.583893596	-2.254245034	-6.193609247	0.1310280587	11.36360097
700	-9.768189689	-0.8766637549	5.750198487	-2.331838574	-6.033096229	0.2005799388	10.61538411
800	-9.21071911	-3.093331517	5.223581637	-3.008621525	-6.183259889	-0.3293664395	8.879690543
900	-9.887397812	-3.883726658	5.226862839	-3.309984673	-5.729552816	0.0514455	8.570553216
1000	-9.998869092	-3.963368449	5.353593283	-3.365315516	-5.688236194	0.09115609997	8.641322057
1100	-9.970274984	-4.148014013	5.398889193	-3.367543763	-5.709257698	0.08660585151	8.617070019
1200	-9.841221591	-4.346862599	5.4641729	-3.366870922	-5.782467735	0.03089081884	8.573140199
1300	-9.766749176	-3.960030005	5.356716318	-2.988245966	-5.95873586	-0.0506037636	8.89842915
1400	-10.60813512	-3.796748892	4.975311852	-2.590927028	-5.481553947	0.7770842217	9.205395641
1500	-10.67571573	-2.905094551	5.071369919	-1.774156835	-6.165934635	0.7591722495	10.41469527
1600	-10.69073794	-2.73178307	5.090830178	-1.730276366	-6.36619474	0.9458906256	10.52042508
1700	-10.69082803	-2.657069485	5.098287226	-1.689215244	-6.453802696	1.02711093	10.58388833
1800	-10.62104862	-2.591659602	5.098110781	-1.587879527	-6.600495579	1.122778054	10.65233214
1900	-10.22993443	-2.420113433	5.023302886	-1.710328229	-6.735228436	1.512046667	10.17510823
2000	-8.735808769	-2.746896348	5.655481087	-2.938341724	-6.388711285	1.140360476	8.201204443
2100	-8.615636265	-3.511407465	6.140168279	-2.556146451	-6.050347138	0.49286255	8.663468905
2200	-8.540544894	-3.896644071	5.793006081	-2.67875279	-6.441767293	0.4522851221	8.328358737
2300	-8.611219316	-4.105327683	5.503756465	-2.653965249	-6.733083937	0.5420123001	8.186139756
2400	-9.202761729	-4.322052109	5.337305583	-2.605081078	-7.206766438	0.6728265058	8.579529811
2500	-10.25191054	-5.337268468	5.180953506	-2.147972498	-7.650712015	1.274870571	9.288881345
2600	-9.906450087	-4.031321793	4.605251507	-1.920705595	-6.757643496	1.486887129	8.996062556
2700	-9.209171714	-3.891144603	4.530865916	-1.681877033	-6.436330996	1.469661055	8.51522837
2800	-9.270758276	-3.737888394	4.404871773	-1.482419661	-6.415919045	1.411148647	8.763129846
2900	-9.255966336	-3.933738423	4.252349269	-1.373699279	-6.47840515	1.282682794	8.79911255
