timestep	p1
0	5.750442173
100	5.646844543
200	5.818066178
300	5.825081794
400	5.843325415
500	5.846306899
600	6.089440699
700	7.015167726
800	7.479672179
900	7.561469071
1000	7.680018884
1100	7.927743642
1200	8.471778145
1300	7.386049162
1400	6.849888761
1500	6.988838273
1600	7.248204388
1700	7.585658788
1800	8.213500559
1900	6.535044671
2000	5.087401195
2100	5.204536207
2200	5.121878626
2300	5.277925319
2400	4.791158
2500	5.820450554
2600	6.428315853
2700	6.681753726
2800	7.105109977
2900	7.588523695
3000	7.461135441
3100	7.612939269
3200	7.480134525
3300	7.386056926
3400	7.076939441
3500	6.30584493
3600	6.440889098
3700	6.283071634
3800	6.448948993
3900	6.403926517
4000	5.127586185
4100	5.799835564
4200	6.484065101
4300	6.683450528
4400	6.825696642
4500	6.956467435
4600	7.134979437
4700	6.52493092
4800	6.889493115
4900	7.111607239
5000	7.392005905
5100	8.50692166
5200	9.26664685
5300	9.019205704
5400	8.739255873
5500	8.504679179
5600	9.087723184
5700	8.777688022
5800	8.418075553
5900	8.709568645
6000	9.087518056
6100	9.259953901
6200	9.344185014
6300	8.771840424
6400	8.841762106
6500	9.023157105
6600	8.279241783
6700	7.601309801
6800	6.485515669
6900	5.934650381
7000	5.609708186
7100	5.145240431
7200	4.329868338
7300	3.692588293
7400	3.658423485
7500	3.582618196
7600	3.796604005
7700	4.71794219
7800	4.74238187
7900	4.847033605
8000	5.845039957
8100	6.695293049
8200	7.160725153
8300	6.674586779
8400	6.790163435
8500	6.257877117
8600	6.42189772
8700	6.934470297
8800	7.784100541
8900	8.311744922
9000	7.58473679
9100	7.171361162
9200	6.663230363
9300	6.73355872
9400	6.499210124
9500	7.262522692
9600	7.499830711
9700	7.840433364
9800	7.804579673
9900	7.9092362
10000	7.831180672
10100	8.136758237
10200	8.502532211
10300	8.548939249
10400	7.646541226
10500	6.829086098
10600	6.446180435
10700	6.240382076
10800	6.537732488
10900	7.402043665
11000	7.589292311
11100	7.807364409
11200	7.524985791
11300	7.126028042
11400	6.649370287
11500	6.257941191
11600	5.836063041
11700	5.059219749
11800	4.480562192
11900	3.927764008
12000	2.635107212
12100	1.883604692
12200	2.504615976
12300	3.217582898
12400	3.642194214
12500	4.836693207
12600	6.537345966
12700	6.410335714
12800	6.507550472
12900	6.762767141
13000	7.368845214
13100	8.878780051
13200	10.12558931
13300	10.32051118
13400	10.22746038
13500	9.905920884
13600	10.43248713
13700	11.03941662
13800	11.23525699
13900	11.32441327
14000	10.5347514
14100	10.18553594
14200	10.03522851
14300	9.621066991
14400	8.509411376
14500	7.928514736
14600	6.129826111
14700	4.782486839
14800	4.206492926
14900	3.814401208
15000	2.997840311
15100	1.06252351
15200	2.433553764
15300	3.346791198
15400	3.304408672
15500	3.669899505
15600	5.015039828
15700	5.915545608
15800	5.886059792
15900	6.200689042
16000	6.647066462
16100	7.346164128
16200	7.411652715
16300	7.131717819
16400	7.351374176
16500	8.388231605
16600	9.434114641
16700	9.887523608
16800	10.54839867
16900	10.07618552
17000	9.344419917
17100	8.76889714
17200	8.276886074
17300	7.672441962
17400	6.784356453
17500	5.841157478
17600	5.427917963
17700	4.82342039
17800	4.528530175
17900	4.469934536
18000	4.403175232
18100	5.276126177
18200	5.723923836
18300	5.953826233
18400	4.858532235
18500	5.024725554
18600	4.038347879
18700	3.887624508
18800	3.453434718
18900	3.643084626
19000	2.768150013
19100	2.249422223
19200	2.346057804
19300	1.876159793
19400	2.261575856
19500	3.492726417
19600	4.56067404
19700	5.383355105
19800	5.776915245
19900	5.442638396
20000	5.479899036
20100	6.069226724
20200	5.627989186
20300	5.413864225
20400	5.820501802
20500	6.586223999
20600	5.902903968
20700	5.454143574
20800	5.794675881
20900	5.92436976
21000	6.206624098
21100	6.466233962
21200	6.62533251
21300	6.565159964
21400	6.354736301
21500	7.102605841
21600	8.278527992
21700	8.727570335
21800	8.954320429
21900	8.594313897
22000	8.008173905
22100	7.604913932
22200	7.080300909
22300	6.541646929
22400	6.005865999
22500	4.859971078
22600	3.84308053
22700	3.166420162
22800	1.683863361
22900	1.173262501
23000	1.318492097
23100	3.302983133
23200	4.62550022
23300	5.706769589
23400	5.518902858
23500	5.735927327
23600	5.519844818
23700	5.151040482
23800	5.931435101
23900	6.50837097
24000	6.903766371
24100	7.728446405
24200	7.618558998
24300	7.65604948
24400	8.736311951
24500	9.075570845
24600	9.683133541
24700	10.70008398
24800	11.19807346
24900	11.25246123
25000	10.28199464
25100	9.060119945
25200	8.701578238
25300	9.127768377
25400	8.818904813
25500	8.96434618
25600	8.539198515
25700	7.863857461
25800	7.355524195
25900	7.12017678
26000	6.849401724
26100	6.353903975
26200	5.477806635
26300	5.8747697
26400	5.917793002
26500	5.327448294
26600	4.608313959
26700	4.101926761
26800	3.106183854
26900	3.053771621
27000	3.112973722
27100	2.993330921
27200	3.368109421
27300	2.583768491
27400	2.906405096
27500	3.217874579
27600	3.132991784
27700	3.451321394
27800	3.871286421
27900	4.147706067
28000	4.452210086
28100	4.138809863
28200	4.852876588
28300	5.160792849
28400	4.846155465
28500	4.837037688
28600	4.888306039
28700	4.906655808
28800	4.939843121
28900	5.342951068
29000	4.984833343
29100	4.346438145
29200	4.221958938
29300	4.983766196
29400	4.940119055
29500	6.031288368
29600	7.379703888
29700	8.694858265
29800	9.499394159
29900	10.02720936
30000	10.50935751
30100	10.21162548
30200	9.858920718
30300	9.91675409
30400	9.227796262
30500	9.100827529
30600	10.19169906
30700	9.843929457
30800	9.17071409
30900	8.342903293
31000	7.89695958
31100	7.584695471
31200	6.720732079
31300	6.365522749
31400	6.505181531
31500	6.391761522
31600	6.677767377
31700	5.921437161
31800	5.545568485
31900	5.017095364
32000	4.291168533
32100	4.213869428
32200	4.085598555
32300	2.993887955
32400	1.930270861
32500	1.409925658
32600	1.364149221
32700	1.148426083
32800	1.243888552
32900	2.027593379
33000	2.239261735
33100	2.772615121
33200	3.537056949
33300	4.825612199
33400	6.134960796
33500	7.503717407
33600	8.679321255
33700	8.913141202
33800	9.261370416
33900	9.074213015
34000	8.651379676
34100	8.004662733
34200	6.90651165
34300	6.418190729
34400	6.108351996
34500	5.279650837
34600	4.925047732
34700	5.272900108
34800	4.943083676
34900	4.203788771
35000	3.377938355
35100	2.168261814
35200	2.194447847
35300	1.894313661
35400	2.094115837
35500	2.124259548
35600	3.089019199
35700	3.193131421
35800	3.472843644
35900	3.314368149
36000	4.708792276
36100	6.032214115
36200	6.748257106
36300	6.204616585
36400	6.254265013
36500	6.276808291
36600	6.531414407
36700	6.3127823
36800	6.472529291
36900	6.452857018
37000	6.41193922
37100	6.266758809
37200	6.507756507
37300	6.622841792
37400	6.002180941
37500	5.346526449
37600	4.569935077
37700	3.720157979
37800	3.193692323
37900	3.583672085
38000	3.559471982
38100	3.626725916
38200	3.279748746
38300	3.094865777
38400	2.918148612
38500	2.66552449
38600	2.994171512
38700	3.069198245
38800	3.88538344
38900	4.927271246
39000	5.545838643
39100	5.913851614
39200	6.869913311
39300	7.915164419
39400	9.365404867
39500	9.854385434
39600	10.06360116
39700	9.161502086
39800	8.838810417
39900	8.580766949
40000	7.770899279
40100	6.696733948
40200	5.130977732
40300	4.263097923
40400	3.784964872
40500	3.029581969
40600	2.864776004
40700	2.721109665
40800	2.866253926
40900	3.277572547
41000	3.696640913
41100	3.967424361
41200	4.126741083
41300	3.559657328
41400	4.011481266
41500	4.837151131
41600	6.012166894
41700	6.261161623
41800	6.590918415
41900	7.412608582
42000	8.565344411
42100	9.385677743
42200	10.12293642
42300	10.56756439
42400	10.83995468
42500	9.887775224
42600	9.216477092
42700	8.454981044
42800	7.793566233
42900	7.562426649
43000	7.664859906
43100	6.669988235
43200	5.88710087
43300	5.881138233
43400	4.698782458
43500	4.098758351
43600	4.876564179
43700	6.28095783
43800	7.123729476
43900	7.557480477
44000	7.462295238
44100	7.216509382
44200	7.245446724
44300	7.64989497
44400	7.908470067
44500	7.581409118
44600	8.405699461
44700	9.873911982
44800	9.773491908
44900	10.54446466
45000	10.55567012
45100	10.17931613
45200	9.052660294
45300	7.981794124
45400	8.264835291
45500	7.89875201
45600	7.91971161
45700	7.026882964
45800	6.203706078
45900	6.086653414
46000	6.641362817
46100	6.949034629
46200	7.606011786
46300	5.985207498
46400	4.969042792
46500	4.50217442
46600	4.323033784
46700	3.603885586
46800	3.017847151
46900	2.19931655
47000	1.874009324
47100	1.97679319
47200	1.583112278
47300	3.591485954
47400	4.020715958
47500	4.073702133
47600	3.568454994
47700	3.624957356
47800	3.100851827
47900	2.731949643
48000	3.653831196
48100	4.383653854
48200	4.949124339
48300	5.502007102
48400	6.386985227
48500	7.685148985
48600	7.96982827
48700	8.42432302
48800	8.713709704
48900	8.924062945
49000	8.594490592
49100	8.492234334
49200	8.701370192
49300	9.244497329
49400	9.109470915
49500	9.004954697
49600	8.844072533
49700	8.415969733
49800	8.556547322
49900	8.912027247
50000	9.177921362
50100	8.64705443
50200	8.012734774
50300	7.469372134
50400	7.928413366
50500	8.152366466
50600	7.22920021
50700	6.776777585
50800	6.205028949
50900	5.615636171
51000	4.685122116
51100	4.517719082
51200	4.616166182
51300	4.947456665
51400	4.255668987
51500	4.066950906
51600	4.289645747
51700	3.270736102
51800	3.333049239
51900	3.699470633
52000	3.989960279
52100	4.501032103
52200	5.088997816
52300	5.369227418
52400	5.936385035
52500	6.147262372
52600	6.134859692
52700	6.7635893
52800	5.875348344
52900	5.607996382
53000	6.237350852
53100	6.616026342
53200	7.202032296
53300	7.550635202
53400	7.252353013
53500	7.500244681
53600	8.270769005
53700	8.511206387
53800	8.968123146
53900	9.576528876
54000	9.951007449
54100	9.782353265
54200	9.555646672
54300	9.054788036
54400	8.631047526
54500	8.884874464
54600	8.656088573
54700	8.847248925
54800	8.273770617
54900	8.604992834
55000	8.461149454
55100	7.086458041
55200	6.547145668
55300	6.44883591
55400	6.606067815
55500	6.51432885
55600	5.84637761
55700	5.541727081
55800	5.681842818
55900	6.283761929
56000	7.146861041
56100	6.834964956
