timestep	p1
0	5.750442173
100	5.646844543
200	5.818066178
300	5.825081794
400	5.843325415
500	5.846306899
600	6.089440699
700	7.015167726
800	7.479672179
900	7.561469071
1000	7.680018884
1100	7.927743642
1200	8.471778145
1300	7.386049162
1400	6.849888761
1500	6.988838273
1600	7.248204388
1700	7.585658788
1800	8.213500559
1900	6.535044671
2000	5.087401195
2100	5.204536207
2200	5.121878626
2300	5.277925319
2400	4.791158
2500	5.820450554
2600	6.428315853
2700	6.681753726
2800	7.105109977
2900	7.588523695
3000	7.461135441
3100	7.612939269
3200	7.480134525
3300	7.386056926
3400	7.076939441
3500	6.30584493
3600	6.440889098
3700	6.283071634
3800	6.448948993
3900	6.403926517
4000	5.127586185
4100	5.799835564
4200	6.484065101
4300	6.683450528
4400	6.825696642
4500	6.956467435
4600	7.134979437
4700	6.52493092
4800	6.889493115
4900	7.111607239
5000	7.392005905
5100	8.50692166
5200	9.26664685
5300	9.019205704
5400	8.739255873
5500	8.504679179
5600	9.087723184
5700	8.777688022
5800	8.418075553
5900	8.709568645
6000	9.087518056
6100	9.259953901
6200	9.344185014
6300	8.771840424
6400	8.841762106
6500	9.023157105
6600	8.279241783
6700	7.601309801
6800	6.485515669
6900	5.934650381
7000	5.609708186
7100	5.145240431
7200	4.329868338
7300	3.692588293
7400	3.658423485
7500	3.582618196
7600	3.796604005
7700	4.71794219
7800	4.74238187
7900	4.847033605
8000	5.845039957
8100	6.695293049
8200	7.160725153
8300	6.674586779
8400	6.790163435
8500	6.257877117
8600	6.42189772
8700	6.934470297
8800	7.784100541
8900	8.311744922
9000	7.58473679
9100	7.171361162
9200	6.663230363
9300	6.73355872
9400	6.499210124
9500	7.262522692
9600	7.499830711
9700	7.840433364
9800	7.804579673
9900	7.9092362
10000	7.831180672
10100	8.136758237
10200	8.502532211
10300	8.548939249
10400	7.646541226
10500	6.829086098
10600	6.446180435
10700	6.240382076
10800	6.537732488
10900	7.402043665
11000	7.589292311
11100	7.807364409
11200	7.524985791
11300	7.126028042
11400	6.649370287
11500	6.257941191
11600	5.836063041
11700	5.059219749
11800	4.480562192
11900	3.927764008
12000	2.633530129
12100	1.690595503
12200	1.112302338
12300	1.040344678
12400	1.115425353
12500	1.392765008
12600	1.395162914
12700	1.135881686
12800	1.175112244
12900	1.078803679
13000	1.106373034
13100	1.713368425
13200	2.70239902
13300	3.977877967
13400	5.441305537
13500	6.728595232
13600	7.768266355
13700	8.042986498
13800	7.46143161
13900	7.040089338
14000	7.067883822
14100	6.699749378
14200	6.564569953
14300	6.888040906
14400	6.978456279
14500	6.51107384
14600	7.064942651
14700	6.51728483
14800	5.15814639
14900	4.835592468
15000	5.092859276
15100	5.05991872
15200	4.691433981
15300	4.725396949
15400	5.150245609
15500	4.995446901
15600	4.775925263
15700	5.674394167
15800	5.028209763
15900	5.094786638
16000	5.828014995
16100	6.277042544
16200	6.1321284
16300	5.850767224
16400	6.110727912
16500	6.170140216
16600	6.205479719
16700	5.730790789
16800	5.053913804
16900	5.124979714
17000	5.170921321
17100	4.79559143
17200	5.48404988
17300	6.262444303
17400	6.406278888
17500	7.389291723
17600	8.319526443
17700	8.798746997
17800	8.4187869
17900	8.343695145
18000	8.082012555
18100	7.712446958
18200	7.683948811
18300	7.98264859
18400	7.879348036
18500	7.396471605
18600	7.300902628
18700	8.236514441
18800	8.429301494
18900	8.850851018
19000	8.762026856
19100	9.008892087
19200	8.749119179
19300	9.216777001
19400	9.208183208
19500	9.174622535
19600	9.073692705
19700	8.692799352
19800	7.23081461
19900	6.697977132
20000	6.230381759
20100	6.339508748
20200	6.486490731
20300	6.717483663
20400	7.113689816
20500	7.863630027
20600	7.909784684
20700	7.640905211
20800	7.330693638
20900	6.724224534
21000	6.203960496
21100	5.948526648
21200	6.034321441
21300	6.566419019
21400	6.511303814
21500	5.332592566
21600	4.593448095
21700	3.680107561
21800	2.873524396
21900	2.608569642
22000	2.536760285
22100	3.81971331
22200	4.578269609
22300	4.918567193
22400	5.178347552
22500	5.927083798
22600	6.125756238
22700	5.741501222
22800	5.51127958
22900	5.348612702
23000	5.406345591
23100	5.639224752
23200	6.243495743
23300	6.389879802
23400	7.005394527
23500	7.783761885
23600	9.596952372
23700	10.46374162
23800	10.49748113
23900	9.931275161
24000	9.636847349
24100	8.337552794
24200	7.929779148
24300	8.224021259
24400	8.575975112
24500	9.235281728
24600	7.885939133
24700	7.760566924
24800	7.647173855
24900	7.512875968
25000	7.008151624
25100	7.482207489
25200	7.739482455
25300	7.164648637
25400	6.389725306
25500	5.487432605
25600	5.370513946
25700	5.017477553
25800	4.770219805
25900	4.696209349
26000	5.096227155
26100	5.347624105
26200	4.613539211
26300	3.552814184
26400	2.899528016
26500	2.839581
26600	3.801242964
26700	3.761430189
26800	4.864058238
26900	6.209014371
27000	6.896398795
27100	5.986071582
27200	5.59132585
27300	5.93550865
27400	5.80264829
27500	5.129229042
27600	5.225781709
27700	5.764798983
27800	6.69712731
27900	8.011689956
28000	9.149117473
28100	9.393539127
28200	9.622666335
28300	8.794910635
28400	8.176014185
28500	8.644527483
28600	8.484991553
28700	8.144328019
28800	7.681165582
28900	7.374823056
29000	7.518813486
29100	7.619594301
29200	7.032888522
29300	5.930334559
29400	5.663708893
29500	5.715442425
29600	6.021503876
29700	6.261208598
29800	5.572467803
29900	4.759121661
30000	4.797367678
30100	4.98221749
30200	4.440091817
30300	3.562668927
30400	2.66015911
30500	1.503534018
30600	1.142967221
30700	1.14893573
30800	1.282942989
30900	1.213213265
31000	1.071403752
31100	1.136360818
31200	1.137622785
31300	1.149215632
31400	1.13791752
31500	1.1083954
31600	1.102469378
31700	1.059984207
31800	1.194637485
31900	1.204479449
32000	1.063240718
32100	1.122838981
32200	1.061447664
32300	1.119041969
32400	1.108287831
32500	1.164942469
32600	1.137786792
32700	1.141483116
32800	1.13238885
32900	1.085611331
33000	1.09609896
33100	1.156571236
33200	1.160681244
33300	1.153441764
33400	1.110745048
33500	1.102402645
33600	1.207143757
33700	1.257336005
33800	1.101820638
33900	1.12285187
34000	1.136275336
34100	1.296110681
34200	1.147903341
34300	1.184932285
34400	1.391106224
34500	1.103112011
34600	1.173111036
34700	1.058821654
34800	1.045542913
34900	1.086910623
35000	1.172605094
35100	1.150988528
35200	1.188708436
35300	1.089427445
35400	1.116787675
35500	1.278872971
35600	1.203685262
35700	1.079426268
35800	1.110156609
35900	1.25435727
36000	1.147727556
36100	1.135445328
36200	1.159243849
36300	1.095109522
36400	1.276971291
36500	1.534886379
36600	1.044900329
36700	1.349231014
36800	1.25913884
36900	1.069109336
37000	1.170578132
37100	1.187737982
37200	1.158159429
37300	1.130715234
37400	1.08225993
37500	1.193354835
37600	1.154317025
37700	1.09404189
37800	1.106273002
37900	1.088258454
38000	1.115284863
38100	1.174347253
38200	1.10065967
38300	1.192171625
38400	1.150928368
38500	1.147417577
38600	1.080911955
38700	1.088211214
38800	1.278931219
38900	1.449119396
39000	1.314658043
39100	1.186819173
39200	1.178260919
39300	1.090116762
39400	1.151105515
39500	1.139374817
39600	1.167163201
39700	1.302944283
39800	1.111186492
39900	1.197759409
40000	1.086214745
40100	1.337774486
40200	1.157595801
40300	1.201153254
40400	1.218773212
40500	1.136925505
40600	1.126868849
40700	1.046541134
40800	1.358431045
40900	1.451599724
41000	1.100382909
41100	1.102727413
41200	1.212665933
41300	1.1760855
41400	1.105699352
41500	1.09284852
41600	1.185030258
41700	1.107147531
41800	1.091158497
41900	1.255929724
42000	1.257510943
42100	1.147522195
42200	1.236299636
42300	1.071315957
42400	1.267763791
42500	1.170639002
42600	1.065564191
42700	1.123568166
42800	1.257391809
42900	1.382113454
43000	1.085734954
43100	1.202414662
43200	1.106054267
43300	1.175018672
43400	1.197489969
43500	1.065920462
43600	1.150735117
43700	1.264326516
43800	1.072624113
43900	1.141587605
44000	1.104532207
44100	1.114153967
44200	1.186255826
44300	1.143911594
44400	1.147991215
44500	1.084251534
44600	1.167665222
44700	1.176782752
44800	1.219075043
44900	1.192028563
45000	1.339740288
45100	1.07231742
45200	1.143956532
45300	1.082518103
45400	1.113570281
45500	1.269886048
45600	1.105152916
45700	1.145044586
45800	1.142547153
45900	1.127093911
46000	1.122557156
46100	1.158339978
46200	1.123396522
46300	1.215876635
46400	1.224577272
46500	1.233738175
46600	1.168799022
46700	1.165561379
46800	1.264642049
46900	1.08166099
47000	1.160248027
47100	1.125081041
47200	1.293247856
47300	1.122392144
47400	1.186574794
47500	1.079949173
47600	1.163146098
47700	1.177145746
47800	1.332055702
47900	1.102357454
48000	1.086430694
48100	1.193111778
48200	1.134590825
48300	1.142152031
48400	1.125314642
48500	1.123846161
48600	1.280017972
48700	1.062235893
48800	1.099100217
48900	1.111745973
49000	1.073779578
49100	1.237073676
49200	1.529642679
49300	1.104022563
49400	1.281238848
49500	1.131347861
49600	1.166145899
49700	1.214847147
49800	1.104884893
49900	1.282647271
50000	1.090621934
50100	1.159659154
50200	1.163611469
50300	1.669711684
50400	1.56126465
50500	1.203506101
50600	1.216999555
50700	1.346954175
50800	1.251669994
50900	1.245531916
51000	1.167366409
51100	1.154832296
51200	1.125415563
51300	1.126887185
51400	1.149327069
51500	1.116700259
51600	1.158199016
51700	1.145742492
51800	1.171755261
51900	1.10813172
52000	1.174899113
52100	1.093362616
52200	1.139588205
52300	1.206086646
52400	1.132252157
52500	1.143479687
52600	1.17684329
52700	1.160081483
52800	1.145565542
52900	1.120872069
53000	1.299947594
53100	1.096580637
53200	1.14522037
53300	1.114678821
53400	1.150404482
53500	1.1046985
53600	1.144897215
53700	1.185468789
53800	1.14193016
53900	1.056220433
54000	1.139710406
54100	1.101877138
54200	1.087611029
54300	1.29870414
54400	1.052515298
54500	1.42734613
54600	1.207783165
54700	1.149025361
54800	1.320416833
54900	1.242606843
55000	1.132222532
55100	1.501442126
55200	1.103463938
55300	1.068470871
55400	1.171333863
55500	1.152486681
55600	1.12466761
55700	1.136282659
55800	1.164782118
55900	1.138169646
56000	1.2887277
56100	1.257263878
56200	1.288823384
